Reaction_ID	Reaction_name	Subsystem	Reaction_formula	design_121	design_124	design_25	Jaccard
PLIPA2E161pp	Phospholipase A2 (phosphatidylethanolamine, n-C16:1) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pe161_p  -> h_p + 1agpe161_p + hdcea_p 	0.00 / 1.68	0.00 / 1.68	0.00 / 2.16	0.78
PLIPA2E180pp	Phospholipase A2 (phosphatidylethanolamine, n-C18:0) (periplasm)	Glycerophospholipid Metabolism	h2o_p + pe180_p  -> h_p + ocdca_p + 1agpe180_p 	0.00 / 1.68	0.00 / 1.68	0.00 / 2.16	0.78
ETHAt2pp	Ethanolamine transport in via proton symport	Transport, Inner Membrane	h_p + etha_p  -> h_c + etha_c 	0.00 / 1.68	0.00 / 1.68	0.00 / 2.16	0.78
MTHFC	Methenyltetrahydrofolate cyclohydrolase	Folate Metabolism	h2o_c + methf_c  <=> h_c + 10fthf_c 	-9.26 / 15.01	-9.26 / 15.01	-7.21 / 11.92	0.79
MTHFD	Methylenetetrahydrofolate dehydrogenase (NADP)	Folate Metabolism	nadp_c + mlthf_c  <=> methf_c + nadph_c 	-9.26 / 15.01	-9.26 / 15.01	-7.21 / 11.92	0.79
TPI	Triose-phosphate isomerase	Glycolysis/Gluconeogenesis	dhap_c  <=> g3p_c 	-8.94 / 53.14	-8.94 / 53.14	-5.91 / 43.30	0.79
PSSA141	Phosphatidylserine syntase (n-C14:1)	Glycerophospholipid Metabolism	ser__L_c + cdpdtdec7eg_c  -> h_c + cmp_c + ps141_c 	0.00 / 2.06	0.00 / 2.06	0.00 / 2.61	0.79
AGPAT140	1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:0)	Glycerophospholipid Metabolism	1tdecg3p_c + myrsACP_c  -> pa140_c + ACP_c 	0.00 / 3.21	0.00 / 3.21	0.00 / 4.07	0.79
PSD141	Phosphatidylserine decarboxylase (n-C14:1)	Glycerophospholipid Metabolism	h_c + ps141_c  -> pe141_c + co2_c 	0.00 / 2.06	0.00 / 2.06	0.00 / 2.61	0.79
LCADi	Lactaldehyde dehydrogenase	Alternate Carbon Metabolism	nad_c + lald__L_c + h2o_c  -> 2 h_c + lac__L_c + nadh_c 	0.00 / 6.17	0.00 / 6.17	0.00 / 7.68	0.80
Ktex	Potassium transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	k_e  <=> k_p 	0.00 / 0.04	0.00 / 0.04	0.00 / 0.05	0.80
L_LACD3	L-Lactate dehydrogenase (menaquinone)	Oxidative Phosphorylation	mqn8_c + lac__L_c  -> mql8_c + pyr_c 	0.00 / 6.17	0.00 / 6.17	0.00 / 7.68	0.80
EX_k_e	K+ exchange	Extracellular exchange	k_e  <=> 	-0.04 / 0.00	-0.04 / 0.00	-0.05 / 0.00	0.80
LALDO3	L-Lactaldehyde:NADP+ 1-oxidoreductase	Methylglyoxal Metabolism	h_c + mthgxl_c + nadph_c  -> lald__L_c + nadp_c 	0.00 / 6.17	0.00 / 6.17	0.00 / 7.68	0.80
AACPS6	Acyl-[acyl-carrier-protein] synthetase  (n-C18:0)	Cell Envelope Biosynthesis	ocdca_c + atp_c + ACP_c  -> ppi_c + ocdcaACP_c + amp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.38	0.80
AGPAT120	1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C12:0)	Glycerophospholipid Metabolism	ddcaACP_c + 1ddecg3p_c  -> pa120_c + ACP_c 	0.00 / 3.22	0.00 / 3.22	0.00 / 4.04	0.80
PSSA180	Phosphatidylserine syntase (n-C18:0)	Glycerophospholipid Metabolism	ser__L_c + cdpdodecg_c  -> h_c + ps180_c + cmp_c 	0.00 / 2.16	0.00 / 2.16	0.00 / 2.70	0.80
PSSA161	Phosphatidylserine syntase (n-C16:1)	Glycerophospholipid Metabolism	cdpdhdec9eg_c + ser__L_c  -> h_c + ps161_c + cmp_c 	0.00 / 2.08	0.00 / 2.08	0.00 / 2.61	0.80
PSD160	Phosphatidylserine decarboxylase (n-C16:0)	Glycerophospholipid Metabolism	h_c + ps160_c  -> pe160_c + co2_c 	0.00 / 2.15	0.00 / 2.15	0.00 / 2.68	0.80
PSD161	Phosphatidylserine decarboxylase (n-C16:1)	Glycerophospholipid Metabolism	h_c + ps161_c  -> pe161_c + co2_c 	0.00 / 2.08	0.00 / 2.08	0.00 / 2.61	0.80
PSD180	Phosphatidylserine decarboxylase (n-C18:0)	Glycerophospholipid Metabolism	h_c + ps180_c  -> pe180_c + co2_c 	0.00 / 2.16	0.00 / 2.16	0.00 / 2.70	0.80
PSSA160	Phosphatidylserine syntase (n-C16:0)	Glycerophospholipid Metabolism	ser__L_c + cdpdhdecg_c  -> h_c + ps160_c + cmp_c 	0.00 / 2.15	0.00 / 2.15	0.00 / 2.68	0.80
PSSA181	Phosphatidylserine syntase (n-C18:1)	Glycerophospholipid Metabolism	ser__L_c + cdpdodec11eg_c  -> h_c + ps181_c + cmp_c 	0.00 / 2.09	0.00 / 2.09	0.00 / 2.61	0.80
AGPAT181	1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1)	Glycerophospholipid Metabolism	1odec11eg3p_c + octeACP_c  -> pa181_c + ACP_c 	0.00 / 3.19	0.00 / 3.19	0.00 / 3.97	0.80
PSD181	Phosphatidylserine decarboxylase (n-C18:1)	Glycerophospholipid Metabolism	h_c + ps181_c  -> pe181_c + co2_c 	0.00 / 2.09	0.00 / 2.09	0.00 / 2.61	0.80
ACPPAT180	Acyl-(acyl carrier protein):phosphate acyltransferase (C18:0)	Glycerophospholipid Metabolism	h_c + pi_c + ocdcaACP_c  -> ocdcap_c + ACP_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.38	0.80
AACPS3	Acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	Cell Envelope Biosynthesis	atp_c + hdca_c + ACP_c  -> ppi_c + amp_c + palmACP_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.25	0.81
ACOATA	Acetyl-CoA ACP transacylase	Membrane Lipid Metabolism	accoa_c + ACP_c  <=> acACP_c + coa_c 	-23.14 / 4.21	-23.14 / 4.21	-28.30 / 5.65	0.81
PSSA140	Phosphatidylserine syntase (n-C14:0)	Glycerophospholipid Metabolism	ser__L_c + cdpdtdecg_c  -> h_c + ps140_c + cmp_c 	0.00 / 2.15	0.00 / 2.15	0.00 / 2.65	0.81
FACOAE60	Fatty-acid-CoA thioesterase (hexanoate)	Cell Envelope Biosynthesis	h2o_c + hxcoa_c  -> h_c + hxa_c + coa_c 	0.00 / 23.25	0.00 / 23.25	0.00 / 28.76	0.81
PSD140	Phosphatidylserine decarboxylase (n-C14:0)	Glycerophospholipid Metabolism	h_c + ps140_c  -> pe140_c + co2_c 	0.00 / 2.15	0.00 / 2.15	0.00 / 2.65	0.81
AGPAT161	1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:1)	Glycerophospholipid Metabolism	hdeACP_c + 1hdec9eg3p_c  -> pa161_c + ACP_c 	0.00 / 3.19	0.00 / 3.19	0.00 / 3.93	0.81
ACPPAT160	Acyl-(acyl carrier protein):phosphate acyltransferase (C16:0)	Glycerophospholipid Metabolism	h_c + pi_c + palmACP_c  -> hdcap_c + ACP_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.25	0.81
LEUTAi	Leucine transaminase (irreversible)	Valine, Leucine, and Isoleucine Metabolism	4mop_c + glu__L_c  -> akg_c + leu__L_c 	0.00 / 0.09	0.00 / 0.09	0.00 / 0.11	0.82
G5SD	Glutamate-5-semialdehyde dehydrogenase	Arginine and Proline Metabolism	h_c + nadph_c + glu5p_c  -> pi_c + nadp_c + glu5sa_c 	0.00 / 15.43	0.00 / 15.43	0.00 / 18.86	0.82
RBFK	Riboflavin kinase	Cofactor and Prosthetic Group Biosynthesis	atp_c + ribflv_c  -> h_c + adp_c + fmn_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
ACP1_FMN	Acid phosphatase (FMN)	Cofactor and Prosthetic Group Biosynthesis	h2o_c + fmn_c  -> pi_c + ribflv_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
HCO3E	HCO3 equilibration reaction	Unassigned	h2o_c + co2_c  <=> h_c + hco3_c 	-0.00 / 23.14	-0.00 / 23.14	-0.00 / 28.30	0.82
IMPD	IMP dehydrogenase	Purine and Pyrimidine Biosynthesis	nad_c + imp_c + h2o_c  -> h_c + xmp_c + nadh_c 	0.00 / 9.26	0.00 / 9.26	0.00 / 11.32	0.82
URIK1	Uridine kinase  ATPUridine 	Nucleotide Salvage Pathway	atp_c + uri_c  -> h_c + ump_c + adp_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
URIK2	Uridine kinase (GTP:Uridine)	Nucleotide Salvage Pathway	uri_c + gtp_c  -> h_c + ump_c + gdp_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
CYTDK1	ATP:cytidine 5'-phosphotransferase	Nucleotide Salvage Pathway	cytd_c + atp_c  -> h_c + adp_c + cmp_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
CYTDK2	Cytidine kinase (GTP)	Nucleotide Salvage Pathway	cytd_c + gtp_c  -> h_c + gdp_c + cmp_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
XPPT	Xanthine phosphoribosyltransferase	Nucleotide Salvage Pathway	xan_c + prpp_c  -> ppi_c + xmp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
HXPRT	Hypoxanthine phosphoribosyltransferase (Hypoxanthine)	Nucleotide Salvage Pathway	prpp_c + hxan_c  -> imp_c + ppi_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
CS	Citrate synthase	Citric Acid Cycle	accoa_c + h2o_c + oaa_c  -> h_c + cit_c + coa_c 	0.00 / 23.14	0.00 / 23.14	-0.00 / 28.30	0.82
ACS	Acetyl-CoA synthetase	Pyruvate Metabolism	ac_c + atp_c + coa_c  -> accoa_c + ppi_c + amp_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
PPA	Inorganic diphosphatase	Anaplerotic Reactions	ppi_c + h2o_c  -> h_c + 2 pi_c 	0.00 / 23.14	-0.00 / 23.14	0.00 / 28.30	0.82
RBK	Ribokinase	Alternate Carbon Metabolism	rib__D_c + atp_c  -> h_c + r5p_c + adp_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
FBP	Fructose-bisphosphatase	Glycolysis/Gluconeogenesis	fdp_c + h2o_c  -> pi_c + f6p_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
GLGC	Glucose-1-phosphate adenylyltransferase	Glycolysis/Gluconeogenesis	h_c + atp_c + g1p_c  -> adpglc_c + ppi_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
PPS	Phosphoenolpyruvate synthase	Glycolysis/Gluconeogenesis	atp_c + h2o_c + pyr_c  -> pep_c + 2 h_c + pi_c + amp_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
G6PDA	Glucosamine-6-phosphate deaminase	Alternate Carbon Metabolism	h2o_c + gam6p_c  -> nh4_c + f6p_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
ALDD2y	Aldehyde dehydrogenase (acetaldehyde, NADP)	Alternate Carbon Metabolism	nadp_c + h2o_c + acald_c  -> 2 h_c + ac_c + nadph_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
NADDP	NAD diphosphatase	Cofactor and Prosthetic Group Biosynthesis	nad_c + h2o_c  -> 2 h_c + nmn_c + amp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
NMNAT	Nicotinamide-nucleotide adenylyltransferase	Cofactor and Prosthetic Group Biosynthesis	h_c + atp_c + nmn_c  -> nad_c + ppi_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
PYNP2r	Pyrimidine-nucleoside phosphorylase (uracil)	Nucleotide Salvage Pathway	pi_c + uri_c  <=> r1p_c + ura_c 	-23.14 / 11.57	-23.14 / 11.57	-28.30 / 14.15	0.82
NDP3	Nucleoside diphosphatase  GDP 	Nucleotide Salvage Pathway	gdp_c + h2o_c  -> h_c + pi_c + gmp_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
CDPPH	CDP phosphohydrolase	Nucleotide Salvage Pathway	h2o_c + cdp_c  -> h_c + pi_c + cmp_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
NDP7	Nucleoside diphosphatase  UDP 	Nucleotide Salvage Pathway	h2o_c + udp_c  -> h_c + ump_c + pi_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
G1PP	Glucose-1-phosphatase	Glycolysis/Gluconeogenesis	g1p_c + h2o_c  -> pi_c + glc__D_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
NTPP1	Nucleoside triphosphate pyrophosphorylase (dgtp)	Nucleotide Salvage Pathway	h2o_c + dgtp_c  -> h_c + ppi_c + dgmp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
NTPP2	Nucleoside triphosphate pyrophosphorylase (gtp)	Nucleotide Salvage Pathway	h2o_c + gtp_c  -> h_c + ppi_c + gmp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
NTPTP2	Nucleoside triphosphate tripolyhydrolase	Nucleotide Salvage Pathway	h2o_c + gtp_c  -> pppi_c + gsn_c 	0.00 / 7.71	0.00 / 7.71	0.00 / 9.43	0.82
IPMD	3-isopropylmalate dehydrogenase	Valine, Leucine, and Isoleucine Metabolism	nad_c + 3c2hmp_c  -> h_c + 3c4mop_c + nadh_c 	0.00 / 0.09	0.00 / 0.09	0.00 / 0.11	0.82
AIRC3	Phosphoribosylaminoimidazole carboxylase (mutase rxn)	Purine and Pyrimidine Biosynthesis	5aizc_c  <=> 5caiz_c 	-0.09 / 0.00	-0.09 / 0.00	-0.11 / 0.00	0.82
ADSL2r	Adenylosuccinate lyase	Purine and Pyrimidine Biosynthesis	25aics_c  <=> aicar_c + fum_c 	0.00 / 0.09	0.00 / 0.09	0.00 / 0.11	0.82
PUNP5	Purine-nucleoside phosphorylase (Inosine)	Nucleotide Salvage Pathway	pi_c + ins_c  <=> r1p_c + hxan_c 	-23.14 / 11.57	-23.14 / 11.57	-28.30 / 14.15	0.82
PUNP6	Purine-nucleoside phosphorylase (Deoxyinosine)	Nucleotide Salvage Pathway	pi_c + din_c  <=> 2dr1p_c + hxan_c 	0.00 / 9.26	0.00 / 9.26	0.00 / 11.32	0.82
PUNP7	Purine-nucleoside phosphorylase (Xanthosine)	Nucleotide Salvage Pathway	xtsn_c + pi_c  <=> xan_c + r1p_c 	-23.14 / 11.57	-23.14 / 11.57	-28.30 / 14.15	0.82
TMDK1	Thymidine kinase (ATP:thymidine)	Nucleotide Salvage Pathway	thymd_c + atp_c  -> h_c + adp_c + dtmp_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
FTHFD	Formyltetrahydrofolate deformylase	Folate Metabolism	10fthf_c + h2o_c  -> h_c + thf_c + for_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
PUNP1	Purine-nucleoside phosphorylase (Adenosine)	Nucleotide Salvage Pathway	pi_c + adn_c  <=> r1p_c + ade_c 	-23.14 / 11.57	-23.14 / 11.57	-28.30 / 14.15	0.82
PYDXNK	Pyridoxine kinase	Cofactor and Prosthetic Group Biosynthesis	pydxn_c + atp_c  -> h_c + adp_c + pdx5p_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
GLCS1	Glycogen synthase (ADPGlc)	Glycolysis/Gluconeogenesis	adpglc_c  -> h_c + adp_c + glycogen_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
GLCP	Glycogen phosphorylase	Glycolysis/Gluconeogenesis	pi_c + glycogen_c  -> g1p_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
ARGSS	Argininosuccinate synthase	Arginine and Proline Metabolism	citr__L_c + asp__L_c + atp_c  -> h_c + argsuc_c + ppi_c + amp_c 	0.00 / 3.31	0.00 / 3.31	0.00 / 4.04	0.82
MACPD	Malonyl-ACP decarboxylase	Membrane Lipid Metabolism	h_c + malACP_c  -> acACP_c + co2_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
ADK4	Adentylate kinase (ITP)	Nucleotide Salvage Pathway	itp_c + amp_c  <=> adp_c + idp_c 	-23.14 / 0.00	-23.14 / 0.00	-28.30 / 0.00	0.82
INSK	Insosine kinase	Nucleotide Salvage Pathway	atp_c + ins_c  -> h_c + adp_c + imp_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
HEX4	Hexokinase (D-mannose:ATP)	Alternate Carbon Metabolism	atp_c + man_c  -> h_c + adp_c + man6p_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
ACCOAC	Acetyl-CoA carboxylase	Membrane Lipid Metabolism	accoa_c + atp_c + hco3_c  -> h_c + adp_c + pi_c + malcoa_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
NADK	NAD kinase	Cofactor and Prosthetic Group Biosynthesis	nad_c + atp_c  -> h_c + adp_c + nadp_c 	0.00 / 23.14	0.00 / 23.14	-0.00 / 28.30	0.82
NTD2	5'-nucleotidase (UMP)	Nucleotide Salvage Pathway	ump_c + h2o_c  -> pi_c + uri_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
NTD4	5'-nucleotidase (CMP)	Nucleotide Salvage Pathway	h2o_c + cmp_c  -> pi_c + cytd_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
NTD5	5'-nucleotidase (dTMP)	Nucleotide Salvage Pathway	dtmp_c + h2o_c  -> pi_c + thymd_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
PYDXPP	Pyridoxal 5-phosphate phosphatase	Cofactor and Prosthetic Group Biosynthesis	pydx5p_c + h2o_c  -> pi_c + pydx_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
PDXPP	Pyridoxine 5-phosphate phosphatase	Cofactor and Prosthetic Group Biosynthesis	pdx5p_c + h2o_c  -> pydxn_c + pi_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
PMANM	Phosphomannomutase	Alternate Carbon Metabolism	man1p_c  <=> man6p_c 	-23.14 / 0.00	-23.14 / 0.00	-28.30 / 0.00	0.82
CMPN	CMP nucleosidase	Nucleotide Salvage Pathway	h2o_c + cmp_c  -> r5p_c + csn_c 	0.00 / 7.71	0.00 / 7.71	0.00 / 9.43	0.82
TRE6PH	Trehalose-6-phosphate hydrolase	Alternate Carbon Metabolism	h2o_c + tre6p_c  -> glc__D_c + g6p_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
G3PT	Glycerol-3-phosphatase	Alternate Carbon Metabolism	glyc3p_c + h2o_c  -> pi_c + glyc_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
CITL	Citrate lyase	Citric Acid Cycle	cit_c  -> ac_c + oaa_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
PYDXK	Pyridoxal kinase	Cofactor and Prosthetic Group Biosynthesis	atp_c + pydx_c  -> h_c + pydx5p_c + adp_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
LCARS	Lacaldehyde reductase (S-propane-1,2-diol forming)	Alternate Carbon Metabolism	h_c + lald__L_c + nadh_c  <=> nad_c + 12ppd__S_c 	-46.28 / 0.00	-46.28 / 0.00	-56.59 / 0.00	0.82
AACPS1	Acyl-[acyl-carrier-protein] synthetase (n-C14:0)	Cell Envelope Biosynthesis	atp_c + ttdca_c + ACP_c  -> ppi_c + myrsACP_c + amp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
NTD9	5'-nucleotidase (GMP)	Nucleotide Salvage Pathway	gmp_c + h2o_c  -> pi_c + gsn_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
NTD10	5'-nucleotidase (XMP)	Nucleotide Salvage Pathway	xmp_c + h2o_c  -> xtsn_c + pi_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
ADPT	Adenine phosphoribosyltransferase	Nucleotide Salvage Pathway	prpp_c + ade_c  -> ppi_c + amp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
AACPS2	Acyl-[acyl-carrier-protein] synthetase  (n-C14:1)	Cell Envelope Biosynthesis	atp_c + ttdcea_c + ACP_c  -> tdeACP_c + ppi_c + amp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
AACPS4	Acyl-[acyl-carrier-protein] synthetase  (n-C16:1)	Cell Envelope Biosynthesis	hdcea_c + atp_c + ACP_c  -> hdeACP_c + ppi_c + amp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
SERASr	(L-seryl)adenylate synthase	Cofactor and Prosthetic Group Biosynthesis	h_c + ser__L_c + atp_c  <=> ppi_c + seramp_c 	0.00 / 5.78	0.00 / 5.79	0.00 / 7.07	0.82
MLTP2	Maltodextrin phosphorylase (maltohexaose)	Alternate Carbon Metabolism	pi_c + malthx_c  <=> g1p_c + maltpt_c 	-23.14 / 0.00	-23.14 / 0.00	-28.30 / 0.00	0.82
PACCOAL	Phenylacetate-CoA ligase	Alternate Carbon Metabolism	pac_c + atp_c + coa_c  -> phaccoa_c + ppi_c + amp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
TRE6PS	Alpha,alpha-trehalose-phosphate synthase (UDP-forming)	Alternate Carbon Metabolism	udpg_c + g6p_c  -> h_c + tre6p_c + udp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
TREH	Alpha,alpha-trehalase	Alternate Carbon Metabolism	tre_c + h2o_c  -> 2 glc__D_c 	0.00 / 7.71	0.00 / 7.71	0.00 / 9.43	0.82
CYTK1	Cytidylate kinase (CMP)	Nucleotide Salvage Pathway	atp_c + cmp_c  <=> adp_c + cdp_c 	-7.71 / 23.14	-7.71 / 23.14	-9.43 / 28.30	0.82
GK1	Guanylate kinase (GMP:ATP)	Nucleotide Salvage Pathway	atp_c + gmp_c  <=> adp_c + gdp_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
ADNUC	Adenosine hydrolase	Alternate Carbon Metabolism	adn_c + h2o_c  -> rib__D_c + ade_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
GTPDPK	GTP diphosphokinase	Cofactor and Prosthetic Group Biosynthesis	atp_c + gtp_c  -> h_c + gdptp_c + amp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
NADN	NAD nucleosidase	Cofactor and Prosthetic Group Biosynthesis	nad_c + h2o_c  -> h_c + adprib_c + ncam_c 	0.00 / 3.31	0.00 / 3.31	0.00 / 4.04	0.82
AST	Arginine succinyltransferase	Arginine and Proline Metabolism	arg__L_c + succoa_c  -> h_c + sucarg_c + coa_c 	0.00 / 3.31	0.00 / 3.31	0.00 / 4.04	0.82
SGDS	Succinylglutamate desuccinylase	Arginine and Proline Metabolism	h2o_c + sucglu_c  -> glu__L_c + succ_c 	0.00 / 3.31	0.00 / 3.31	0.00 / 4.04	0.82
GSPMDA	Glutathionylspermidine amidase	Arginine and Proline Metabolism	gtspmd_c + h2o_c  -> gthrd_c + spmd_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
GSPMDS	Glutathionylspermidine synthetase	Arginine and Proline Metabolism	gthrd_c + atp_c + spmd_c  -> h_c + adp_c + pi_c + gtspmd_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
GUAD	Guanine deaminase	Nucleotide Salvage Pathway	h_c + gua_c + h2o_c  -> xan_c + nh4_c 	0.00 / 5.78	0.00 / 5.78	0.00 / 7.07	0.82
DTMPK	DTMP kinase	Nucleotide Salvage Pathway	atp_c + dtmp_c  <=> adp_c + dtdp_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
PGMT	Phosphoglucomutase	Alternate Carbon Metabolism	g1p_c  <=> g6p_c 	-23.14 / 0.00	-23.14 / 0.00	-28.30 / 0.00	0.82
MLTG3	Maltodextrin glucosidase (maltopentaose)	Alternate Carbon Metabolism	maltpt_c + h2o_c  -> glc__D_c + maltttr_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
NADTRHD	NAD transhydrogenase	Oxidative Phosphorylation	nad_c + nadph_c  -> nadp_c + nadh_c 	0.00 / 46.28	0.00 / 46.28	0.00 / 56.59	0.82
GMPS2	GMP synthase	Purine and Pyrimidine Biosynthesis	atp_c + gln__L_c + xmp_c + h2o_c  -> 2 h_c + ppi_c + glu__L_c + gmp_c + amp_c 	0.00 / 6.61	0.00 / 6.61	0.00 / 8.08	0.82
AMPN	AMP nucleosidase	Nucleotide Salvage Pathway	h2o_c + amp_c  -> r5p_c + ade_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
GSNK	Guanosine kinase	Nucleotide Salvage Pathway	atp_c + gsn_c  -> h_c + adp_c + gmp_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
UMPK	UMP kinase	Nucleotide Salvage Pathway	ump_c + atp_c  <=> adp_c + udp_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
DURIK1	Deoxyuridine kinase (ATP:Deoxyuridine)	Nucleotide Salvage Pathway	duri_c + atp_c  -> h_c + adp_c + dump_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
UPPRT	Uracil phosphoribosyltransferase	Nucleotide Salvage Pathway	ura_c + prpp_c  -> ump_c + ppi_c 	0.00 / 11.57	0.00 / 11.57	0.00 / 14.15	0.82
CTPS2	CTP synthase (glutamine)	Purine and Pyrimidine Biosynthesis	atp_c + utp_c + gln__L_c + h2o_c  -> 2 h_c + ctp_c + adp_c + pi_c + glu__L_c 	0.00 / 7.71	0.00 / 7.71	0.00 / 9.43	0.82
NTD1	5'-nucleotidase (dUMP)	Nucleotide Salvage Pathway	h2o_c + dump_c  -> duri_c + pi_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
NTD7	5'-nucleotidase (AMP)	Nucleotide Salvage Pathway	h2o_c + amp_c  -> pi_c + adn_c 	0.00 / 23.14	0.00 / 23.14	0.00 / 28.30	0.82
IDOND	L-idonate 5-dehydrogenase	Alternate Carbon Metabolism	h_c + 5dglcn_c + nadh_c  <=> nad_c + idon__L_c 	-46.28 / 0.00	-46.28 / 0.00	-56.59 / 0.00	0.82
IDOND2	L-indonate 5-dehydrogenase (NADP)	Alternate Carbon Metabolism	h_c + 5dglcn_c + nadph_c  -> idon__L_c + nadp_c 	0.00 / 46.28	0.00 / 46.28	0.00 / 56.59	0.82
HPYRRy	Hydroxypyruvate reductase (NADPH)	Alternate Carbon Metabolism	h_c + hpyr_c + nadph_c  -> nadp_c + glyc__R_c 	0.00 / 46.28	0.00 / 46.28	0.00 / 56.59	0.82
ADA	Adenosine deaminase	Nucleotide Salvage Pathway	h_c + adn_c + h2o_c  -> nh4_c + ins_c 	0.00 / 9.26	0.00 / 9.26	0.00 / 11.32	0.82
DADA	Deoxyadenosine deaminase	Nucleotide Salvage Pathway	h_c + dad_2_c + h2o_c  -> nh4_c + din_c 	0.00 / 9.26	0.00 / 9.26	0.00 / 11.32	0.82
